Latitude,Longitude,total_museums
61.2163129,-149.894852,38
34.729847,-86.5859011,24
33.5206824,-86.8024326,37
34.7465071,-92.2896267,38
33.4484367,-112.074141,80
32.2228765,-110.974847,66
38.5810606,-121.493895,104
32.7174202,-117.162772,228
37.7792588,-122.4193286,452
37.3361663,-121.890591,127
34.0536909,-118.242766,410
40.0149856,-105.270545,19
38.8339578,-104.825348,44
39.7392364,-104.984862,143
40.5871782,-105.0770113,13
41.3082138,-72.9250518,27
41.764582,-72.6908547,54
38.8950368,-77.0365427,398
39.158168,-75.5243682,197
29.6519684,-82.3249846,15
30.3321838,-81.655651,33
25.7741728,-80.19362,217
28.5421109,-81.3790304,71
30.4380832,-84.2809332,24
27.9477595,-82.458444,58
26.715364,-80.0532942,56
33.9597677,-83.376398,11
33.7489924,-84.3902644,134
32.4610708,-84.9880449,21
32.0790074,-81.0921335,78
21.304547,-157.855676,126
41.5868654,-93.6249494,17
43.6166163,-116.200886,25
41.8755616,-87.6244212,310
39.7683331,-86.1583502,136
41.6833813,-86.2500066,16
38.9719137,-95.2359403,10
37.6922361,-97.3375448,27
38.2542376,-85.759407,97
30.2262187,-92.0178202,10
29.9759983,-90.0782127,194
42.3554334,-71.060511,223
39.2908816,-76.610759,115
43.6573605,-70.2586618,35
42.2813722,-83.7484616,25
42.9632425,-85.6678639,17
42.7338254,-84.5546295,16
42.3315509,-83.0466403,73
44.9772995,-93.2654692,76
44.0234387,-92.4630182,11
39.100105,-94.5781416,89
38.6280278,-90.1910154,84
32.2998686,-90.1830408,40
45.6794293,-111.044047,11
35.2272086,-80.8430827,49
35.996653,-78.9018053,23
35.0525759,-78.878292,13
36.0726355,-79.7919754,19
35.7803977,-78.6390989,47
46.877229,-96.789821,11
40.8088861,-96.7077751,28
41.2587459,-95.9383758,38
42.9956397,-71.4547891,12
39.3642852,-74.4229351,15
35.0841034,-106.650985,57
39.5261206,-119.8126581,50
36.1672559,-115.148516,189
42.8867166,-78.8783922,61
40.7127281,-74.0060152,901
39.1014537,-84.5124602,107
39.9622601,-83.0007065,71
35.4729886,-97.5170536,51
36.391142,-95.044788,152
45.5202471,-122.674194,140
44.0505054,-123.0950506,18
40.4416941,-79.9900861,104
39.9527237,-75.1635262,210
41.8239891,-71.4128343,54
32.7884363,-79.9399309,90
34.0003117,-81.0331309,28
43.5476008,-96.7293629,20
35.0457219,-85.3094883,33
35.1460249,-90.0517638,56
35.9603948,-83.9210261,28
36.1622767,-86.7742984,86
30.2711286,-97.7436995,112
32.7762719,-96.7968559,93
29.7589382,-95.3676974,146
29.4246002,-98.4951405,99
40.2337289,-111.6587085,25
40.7596198,-111.886797,51
37.5385087,-77.43428,76
36.8496579,-75.9760751,19
44.4761601,-73.212906,11
47.6038321,-122.330062,175
47.6571934,-117.42351,12
43.074761,-89.3837613,24
43.0386475,-87.9090751,79
38.3505995,-81.6332812,15
41.139981,-104.820246,12
