0,1
NAME,urban area
"Albany, GA Urban Area (2020)",00901
"Abilene, TX Urban Area (2020)",00280
"Aguadilla--Isabela--San Sebastián, PR Urban Area (2020)",00631
"Akron, OH Urban Area (2020)",00766
"Albany, OR Urban Area (2020)",00955
"Albany--Schenectady, NY Urban Area (2020)",00970
"Albuquerque, NM Urban Area (2020)",01171
"Alexandria, LA Urban Area (2020)",01279
"Allentown--Bethlehem, PA--NJ Urban Area (2020)",01495
"Alton, IL Urban Area (2020)",01765
"Altoona, PA Urban Area (2020)",01792
"Amarillo, TX Urban Area (2020)",01927
"Ames, IA Urban Area (2020)",02062
"Amherst Town--Northampton--Easthampton Town, MA Urban Area (2020)",02103
"Anchorage, AK Urban Area (2020)",02305
"Anderson, IN Urban Area (2020)",02386
"Anderson--Clemson, SC Urban Area (2020)",02420
"Ann Arbor, MI Urban Area (2020)",02602
"Anniston--Oxford, AL Urban Area (2020)",02629
"Antioch, CA Urban Area (2020)",02683
"Appleton, WI Urban Area (2020)",02764
"Arecibo, PR Urban Area (2020)",03034
"Asheville, NC Urban Area (2020)",03358
"Athens-Clarke County, GA Urban Area (2020)",03763
"Atlanta, GA Urban Area (2020)",03817
"Atlantic City--Ocean City--Villas, NJ Urban Area (2020)",03904
"Auburn, AL Urban Area (2020)",04033
"Augusta-Richmond County, GA--SC Urban Area (2020)",04222
"Austin, TX Urban Area (2020)",04384
"Bakersfield, CA Urban Area (2020)",04681
"Baltimore, MD Urban Area (2020)",04843
"Barceloneta--Florida--Bajadero, PR Urban Area (2020)",05040
"Barnstable Town, MA Urban Area (2020)",05167
"Baton Rouge, LA Urban Area (2020)",05680
"Battle Creek, MI Urban Area (2020)",05707
"Bay City, MI Urban Area (2020)",05869
"Beaumont, TX Urban Area (2020)",06058
"Bel Air--Aberdeen, MD Urban Area (2020)",06290
"Billings, MT Urban Area (2020)",07705
"Bellingham, WA Urban Area (2020)",06652
"Bend, OR Urban Area (2020)",06868
"Beverly Hills--Homosassa Springs--Pine Ridge, FL Urban Area (2020)",07472
"Binghamton, NY Urban Area (2020)",07732
"Birmingham, AL Urban Area (2020)",07786
"Bismarck, ND Urban Area (2020)",07921
"Blacksburg--Christiansburg, VA Urban Area (2020)",08002
"Bloomington, IN Urban Area (2020)",08380
"Bloomington--Normal, IL Urban Area (2020)",08407
"Bluffton East--Hilton Head Island, SC Urban Area (2020)",08601
"Boise City, ID Urban Area (2020)",08785
"Bonita Springs--Estero, FL Urban Area (2020)",08974
"Boston, MA--NH Urban Area (2020)",09271
"Boulder, CO Urban Area (2020)",09298
"Bowling Green, KY Urban Area (2020)",09379
"Bozeman, MT Urban Area (2020)",09514
"Bradenton--Sarasota--Venice, FL Urban Area (2020)",09536
"Bremerton, WA Urban Area (2020)",09946
"Bridgeport--Stamford, CT--NY Urban Area (2020)",10162
"Bristol, TN--VA Urban Area (2020)",10351
"Brownsville, TX Urban Area (2020)",10972
"Brunswick--St. Simons, GA Urban Area (2020)",11026
"Buffalo, NY Urban Area (2020)",11350
"Burlington, NC Urban Area (2020)",11728
"Burlington, VT Urban Area (2020)",11755
"Camarillo, CA Urban Area (2020)",12754
"Canton, OH Urban Area (2020)",13375
"Cape Coral, FL Urban Area (2020)",13510
"Casper, WY Urban Area (2020)",14482
"Castle Rock, CO Urban Area (2020)",14563
"Cedar Rapids, IA Urban Area (2020)",14752
"Charlotte, NC--SC Urban Area (2020)",15670
"Champaign, IL Urban Area (2020)",15211
"Charleston, WV Urban Area (2020)",15481
"Charleston, SC Urban Area (2020)",15508
"Charlottesville, VA Urban Area (2020)",15724
"Chattanooga, TN--GA Urban Area (2020)",15832
"Cheyenne, WY Urban Area (2020)",16237
"Chicago, IL--IN Urban Area (2020)",16264
"Chico, CA Urban Area (2020)",16318
"Cincinnati, OH--KY Urban Area (2020)",16885
"Clarksville, TN--KY Urban Area (2020)",17317
"Cleveland, OH Urban Area (2020)",17668
"Cleveland, TN Urban Area (2020)",17722
"Coeur d'Alene, ID Urban Area (2020)",18451
"College Station--Bryan, TX Urban Area (2020)",18748
"Colorado Springs, CO Urban Area (2020)",18856
"Columbia, MO Urban Area (2020)",18937
"Columbia, SC Urban Area (2020)",18964
"Columbus, GA--AL Urban Area (2020)",19099
"Columbus, OH Urban Area (2020)",19234
"Concord--Walnut Creek, CA Urban Area (2020)",19504
"Concord, NC Urban Area (2020)",19558
"Conway, AR Urban Area (2020)",19801
"Corpus Christi, TX Urban Area (2020)",20287
"Corvallis, OR Urban Area (2020)",20422
"Dallas--Fort Worth--Arlington, TX Urban Area (2020)",22042
"Dalton, GA Urban Area (2020)",22069
"Danbury, CT--NY Urban Area (2020)",22096
"Davenport, IA--IL Urban Area (2020)",22366
"Davis, CA Urban Area (2020)",22420
"Dayton, OH Urban Area (2020)",22528
"Daytona Beach--Palm Coast--Port Orange, FL Urban Area (2020)",22612
"Decatur, IL Urban Area (2020)",22717
"Deltona, FL Urban Area (2020)",23311
"Denton--Lewisville, TX Urban Area (2020)",23500
"Denver--Aurora, CO Urban Area (2020)",23527
"Des Moines, IA Urban Area (2020)",23743
"Detroit, MI Urban Area (2020)",23824
"Dubuque, IA--IL Urban Area (2020)",24823
"Dothan, AL Urban Area (2020)",24472
"Dover, DE Urban Area (2020)",24580
"Dover--Rochester, NH--ME Urban Area (2020)",24607
"Duluth, MN--WI Urban Area (2020)",24850
"Durham, NC Urban Area (2020)",25228
"Eau Claire, WI Urban Area (2020)",26038
"El Centro, CA Urban Area (2020)",26405
"Elizabethtown--Radcliff, KY Urban Area (2020)",26750
"Elkhart, IN--MI Urban Area (2020)",26794
"El Paso, TX--NM Urban Area (2020)",27253
"El Paso de Robles (Paso Robles)--Atascadero, CA Urban Area (2020)",27261
"Erie, PA Urban Area (2020)",27766
"Eugene, OR Urban Area (2020)",28117
"Evansville, IN Urban Area (2020)",28333
"Fairbanks, AK Urban Area (2020)",28549
"Fairfield, CA Urban Area (2020)",28657
"Fairhope--Daphne, AL Urban Area (2020)",28766
"Fajardo, PR Urban Area (2020)",28981
"Fargo, ND--MN Urban Area (2020)",29089
"Fayetteville, NC Urban Area (2020)",29440
"Fayetteville--Springdale--Rogers, AR--MO Urban Area (2020)",29494
"Flagstaff, AZ Urban Area (2020)",29818
"Flint, MI Urban Area (2020)",29872
"Florence, AL Urban Area (2020)",29953
"Fort Wayne, IN Urban Area (2020)",31087
"Florence, SC Urban Area (2020)",30061
"Fort Collins, CO Urban Area (2020)",30628
"Fort Smith, AR--OK Urban Area (2020)",30925
"Four Corners, FL Urban Area (2020)",31150
"Frederick, MD Urban Area (2020)",31519
"Fredericksburg, VA Urban Area (2020)",31600
"Fresno, CA Urban Area (2020)",31843
"Gainesville, FL Urban Area (2020)",32167
"Gainesville, GA Urban Area (2020)",32194
"Galveston--Texas City, TX Urban Area (2020)",32491
"Gastonia, NC Urban Area (2020)",32653
"Gilroy--Morgan Hill, CA Urban Area (2020)",33328
"Glens Falls, NY Urban Area (2020)",33598
"Grand Forks, ND--MN Urban Area (2020)",34219
"Grand Junction, CO Urban Area (2020)",34273
"Grand Rapids, MI Urban Area (2020)",34300
"Great Falls, MT Urban Area (2020)",34759
"Greeley, CO Urban Area (2020)",34786
"Green Bay, WI Urban Area (2020)",34813
"Greensboro, NC Urban Area (2020)",35164
"Greenville, NC Urban Area (2020)",35380
"Greenville, SC Urban Area (2020)",35461
"Gulfport--Biloxi, MS Urban Area (2020)",35920
"Hagerstown, MD--WV--PA--VA Urban Area (2020)",36190
"Hammond, LA Urban Area (2020)",36514
"Hanford, CA Urban Area (2020)",36703
"Harlingen, TX Urban Area (2020)",36892
"Harrisburg, PA Urban Area (2020)",37081
"Harrisonburg, VA Urban Area (2020)",37162
"Hartford, CT Urban Area (2020)",37243
"Hattiesburg, MS Urban Area (2020)",37594
"Holland, MI Urban Area (2020)",39430
"Hemet, CA Urban Area (2020)",38215
"Hickory, NC Urban Area (2020)",38647
"High Point, NC Urban Area (2020)",38809
"Honolulu, HI Urban Area (2020)",39889
"Houma, LA Urban Area (2020)",40375
"Houston, TX Urban Area (2020)",40429
"Huntington, WV--KY--OH Urban Area (2020)",40753
"Huntsville, AL Urban Area (2020)",40780
"Idaho Falls, ID Urban Area (2020)",40996
"Indianapolis, IN Urban Area (2020)",41212
"Indio--Palm Desert--Palm Springs, CA Urban Area (2020)",41347
"Iowa City, IA Urban Area (2020)",41590
"Jackson, MI Urban Area (2020)",42157
"Jackson, MS Urban Area (2020)",42211
"Jackson, TN Urban Area (2020)",42265
"Jacksonville, FL Urban Area (2020)",42346
"Jacksonville, NC Urban Area (2020)",42400
"Janesville, WI Urban Area (2020)",42562
"Johnson City, TN Urban Area (2020)",43210
"Jonesboro, AR Urban Area (2020)",43345
"Joplin, MO Urban Area (2020)",43399
"Juana Díaz, PR Urban Area (2020)",43453
"Kailua (Honolulu County)--Kaneohe, HI Urban Area (2020)",43669
"Kalamazoo, MI Urban Area (2020)",43723
"Kankakee, IL Urban Area (2020)",43885
"Kansas City, MO--KS Urban Area (2020)",43912
"Kingsport, TN--VA Urban Area (2020)",45235
"Kennewick--Richland--Pasco, WA Urban Area (2020)",44479
"Kenosha, WI Urban Area (2020)",44506
"Killeen, TX Urban Area (2020)",44992
"Kiryas Joel, NY Urban Area (2020)",45443
"Kissimmee--St. Cloud, FL Urban Area (2020)",45451
"Knoxville, TN Urban Area (2020)",45640
"La Crosse, WI--MN Urban Area (2020)",45910
"Lafayette, IN Urban Area (2020)",46018
"Lafayette, LA Urban Area (2020)",46045
"Lafayette--Erie--Louisville, CO Urban Area (2020)",46126
"Lake Charles, LA Urban Area (2020)",46531
"Lakeland, FL Urban Area (2020)",46828
"Lancaster--Manheim, PA Urban Area (2020)",47530
"Lansing, MI Urban Area (2020)",47719
"Laredo, TX Urban Area (2020)",47854
"Las Cruces, NM Urban Area (2020)",47935
"Las Vegas--Henderson--Paradise, NV Urban Area (2020)",47995
"Lawrence, KS Urban Area (2020)",48232
"Lawton, OK Urban Area (2020)",48394
"Lebanon, PA Urban Area (2020)",48664
"Leesburg--Eustis--Tavares, FL Urban Area (2020)",48799
"Lee's Summit, MO Urban Area (2020)",48826
"Leominster--Fitchburg, MA Urban Area (2020)",49096
"Lexington-Fayette, KY Urban Area (2020)",49582
"Lima, OH Urban Area (2020)",49852
"Lincoln, NE Urban Area (2020)",49933
"Little Rock, AR Urban Area (2020)",50392
"Livermore--Pleasanton--Dublin, CA Urban Area (2020)",50533
"Lodi, CA Urban Area (2020)",50851
"Logan, UT Urban Area (2020)",50959
"Lorain--Elyria, OH Urban Area (2020)",51364
"Longmont, CO Urban Area (2020)",51175
"Longview, TX Urban Area (2020)",51256
"Longview, WA--OR Urban Area (2020)",51283
"Los Angeles--Long Beach--Anaheim, CA Urban Area (2020)",51445
"Louisville/Jefferson County, KY--IN Urban Area (2020)",51755
"Lubbock, TX Urban Area (2020)",51877
"Lynchburg, VA Urban Area (2020)",52201
"McAllen, TX Urban Area (2020)",52390
"McKinney--Frisco, TX Urban Area (2020)",52695
"Macon-Bibb County, GA Urban Area (2020)",52822
"Madera, CA Urban Area (2020)",52984
"Madison, WI Urban Area (2020)",53200
"Manchester, NH Urban Area (2020)",53740
"Mandeville--Covington, LA Urban Area (2020)",53794
"Mansfield, OH Urban Area (2020)",54091
"Manteca, CA Urban Area (2020)",54145
"Maricopa, AZ Urban Area (2020)",54477
"Marysville, WA Urban Area (2020)",55333
"Mauldin--Simpsonville, SC Urban Area (2020)",55603
"Mayagüez, PR Urban Area (2020)",55738
"Medford, OR Urban Area (2020)",55981
"Memphis, TN--MS--AR Urban Area (2020)",56116
"Merced, CA Urban Area (2020)",56251
"Miami--Fort Lauderdale, FL Urban Area (2020)",56602
"Michigan City--La Porte, IN--MI Urban Area (2020)",56656
"Minneapolis--St. Paul, MN Urban Area (2020)",57628
"Middletown, OH Urban Area (2020)",56926
"Midland, TX Urban Area (2020)",57007
"Milwaukee, WI Urban Area (2020)",57466
"Mission Viejo--Lake Forest--Laguna Niguel, CA Urban Area (2020)",57709
"Missoula, MT Urban Area (2020)",57736
"Mobile, AL Urban Area (2020)",57925
"Modesto, CA Urban Area (2020)",58006
"Monroe, LA Urban Area (2020)",58330
"Montgomery, AL Urban Area (2020)",58600
"Morgantown, WV Urban Area (2020)",59275
"Morristown, TN Urban Area (2020)",59410
"Mount Vernon, WA Urban Area (2020)",60490
"Muncie, IN Urban Area (2020)",60625
"Murfreesboro, TN Urban Area (2020)",60733
"Muskegon--Norton Shores, MI Urban Area (2020)",60841
"Myrtle Beach--North Myrtle Beach, SC--NC Urban Area (2020)",60895
"Nampa, ID Urban Area (2020)",60976
"Napa, CA Urban Area (2020)",61057
"Nashua, NH--MA Urban Area (2020)",61165
"Nashville-Davidson, TN Urban Area (2020)",61273
"Navarre--Miramar Beach--Destin, FL Urban Area (2020)",61372
"Newark, OH Urban Area (2020)",61705
"New Bedford, MA Urban Area (2020)",61786
"New Braunfels, TX Urban Area (2020)",61948
"New Haven, CT Urban Area (2020)",62407
"New Orleans, LA Urban Area (2020)",62677
"New York--Jersey City--Newark, NY--NJ Urban Area (2020)",63217
"Norman, OK Urban Area (2020)",63433
"Norwich--New London, CT Urban Area (2020)",64135
"Ocala, FL Urban Area (2020)",64567
"Odessa, TX Urban Area (2020)",64864
"Ogden--Layton, UT Urban Area (2020)",64945
"Oklahoma City, OK Urban Area (2020)",65080
"Olympia--Lacey, WA Urban Area (2020)",65242
"Omaha, NE--IA Urban Area (2020)",65269
"Orlando, FL Urban Area (2020)",65863
"Oshkosh, WI Urban Area (2020)",66160
"Owensboro, KY Urban Area (2020)",66484
"Panama City--Panama City Beach, FL Urban Area (2020)",67305
"Oxnard--San Buenaventura (Ventura), CA Urban Area (2020)",66673
"Palm Bay--Melbourne, FL Urban Area (2020)",67105
"Palmdale--Lancaster, CA Urban Area (2020)",67140
"Parkersburg, WV--OH Urban Area (2020)",67672
"Pensacola, FL--AL Urban Area (2020)",68482
"Peoria, IL Urban Area (2020)",68509
"Philadelphia, PA--NJ--DE--MD Urban Area (2020)",69076
"Phoenix--Mesa--Scottsdale, AZ Urban Area (2020)",69184
"Phoenix West--Goodyear--Avondale, AZ Urban Area (2020)",69192
"Pittsburgh, PA Urban Area (2020)",69697
"Pocatello, ID Urban Area (2020)",70426
"Ponce, PR Urban Area (2020)",70642
"Port Arthur, TX Urban Area (2020)",70993
"Port Charlotte--North Port, FL Urban Area (2020)",71060
"Porterville, CA Urban Area (2020)",71074
"Port Huron, MI Urban Area (2020)",71155
"Portland, ME Urban Area (2020)",71263
"Portland, OR--WA Urban Area (2020)",71317
"Port St. Lucie, FL Urban Area (2020)",71479
"Portsmouth, NH--ME Urban Area (2020)",71506
"Poughkeepsie--Newburgh, NY Urban Area (2020)",71803
"Prescott--Prescott Valley, AZ Urban Area (2020)",72112
"Racine, WI Urban Area (2020)",73153
"Providence, RI--MA Urban Area (2020)",72505
"Provo--Orem, UT Urban Area (2020)",72559
"Pueblo, CO Urban Area (2020)",72613
"Raleigh, NC Urban Area (2020)",73261
"Rapid City, SD Urban Area (2020)",73396
"Reading, PA Urban Area (2020)",73693
"Redding, CA Urban Area (2020)",73774
"Reno, NV--CA Urban Area (2020)",74179
"Richmond, VA Urban Area (2020)",74746
"Riverside--San Bernardino, CA Urban Area (2020)",75340
"Roanoke, VA Urban Area (2020)",75421
"Rochester, MN Urban Area (2020)",75637
"Rochester, NY Urban Area (2020)",75664
"Rockford, IL Urban Area (2020)",75718
"Rock Hill, SC Urban Area (2020)",75745
"Round Lake Beach--McHenry--Grayslake, IL--WI Urban Area (2020)",76474
"Sacramento, CA Urban Area (2020)",77068
"Saginaw, MI Urban Area (2020)",77149
"St. Augustine, FL Urban Area (2020)",77230
"St. Cloud, MN Urban Area (2020)",77338
"St. George, UT Urban Area (2020)",77446
"St. Joseph, MO--KS Urban Area (2020)",77743
"St. Louis, MO--IL Urban Area (2020)",77770
"Salem, OR Urban Area (2020)",78229
"Salinas, CA Urban Area (2020)",78310
"Salisbury, MD--DE Urban Area (2020)",78364
"Salt Lake City, UT Urban Area (2020)",78499
"San Angelo, TX Urban Area (2020)",78553
"San Antonio, TX Urban Area (2020)",78580
"San Diego, CA Urban Area (2020)",78661
"San Juan, PR Urban Area (2020)",79093
"San Francisco--Oakland, CA Urban Area (2020)",78904
"San Germán--Cabo Rojo--Sabana Grande, PR Urban Area (2020)",78985
"San Jose, CA Urban Area (2020)",79039
"San Marcos, TX Urban Area (2020)",79201
"Santa Barbara, CA Urban Area (2020)",79282
"Santa Clarita, CA Urban Area (2020)",79309
"Santa Cruz, CA Urban Area (2020)",79336
"Santa Fe, NM Urban Area (2020)",79363
"Santa Maria, CA Urban Area (2020)",79417
"Santa Rosa, CA Urban Area (2020)",79498
"Saratoga Springs, NY Urban Area (2020)",79633
"Savannah, GA Urban Area (2020)",79768
"Scranton, PA Urban Area (2020)",80227
"Seaside--Monterey--Pacific Grove, CA Urban Area (2020)",80362
"Seattle--Tacoma, WA Urban Area (2020)",80389
"Sebring--Avon Park, FL Urban Area (2020)",80416
"Sheboygan, WI Urban Area (2020)",81118
"Sherman--Denison, TX Urban Area (2020)",81631
"Shreveport, LA Urban Area (2020)",81739
"Simi Valley, CA Urban Area (2020)",82144
"Sioux City, IA--NE--SD Urban Area (2020)",82225
"Sioux Falls, SD Urban Area (2020)",82252
"Slidell, LA Urban Area (2020)",82468
"South Bend, IN--MI Urban Area (2020)",83116
"South Lyon--Hamburg--Genoa, MI Urban Area (2020)",83332
"Spartanburg, SC Urban Area (2020)",83548
"Spokane, WA Urban Area (2020)",83764
"Springfield, IL Urban Area (2020)",83899
"Springfield, MA--CT Urban Area (2020)",83926
"Springfield, MO Urban Area (2020)",83953
"Springfield, OH Urban Area (2020)",83980
"Spring Hill, FL Urban Area (2020)",84024
"Spring Hill, TN Urban Area (2020)",84088
"State College, PA Urban Area (2020)",84493
"Stockton, CA Urban Area (2020)",85087
"Sumter, SC Urban Area (2020)",85708
"Syracuse, NY Urban Area (2020)",86302
"Tallahassee, FL Urban Area (2020)",86464
"Tampa--St. Petersburg, FL Urban Area (2020)",86599
"Temecula--Murrieta--Menifee, CA Urban Area (2020)",87004
"Temple, TX Urban Area (2020)",87058
"Terre Haute, IN Urban Area (2020)",87139
"Texarkana, TX--AR Urban Area (2020)",87193
"The Villages--Lady Lake, FL Urban Area (2020)",87285
"The Woodlands--Conroe, TX Urban Area (2020)",87300
"Thousand Oaks, CA Urban Area (2020)",87490
"Toledo, OH--MI Urban Area (2020)",87868
"Topeka, KS Urban Area (2020)",88084
"Tracy--Mountain House, CA Urban Area (2020)",88280
"Trenton, NJ Urban Area (2020)",88462
"Tucson, AZ Urban Area (2020)",88732
"Tulare, CA Urban Area (2020)",88840
"Tulsa, OK Urban Area (2020)",88948
"Turlock, CA Urban Area (2020)",89083
"Tuscaloosa, AL Urban Area (2020)",89110
"Tyler, TX Urban Area (2020)",89326
"Vallejo, CA Urban Area (2020)",90028
"Utica, NY Urban Area (2020)",89785
"Vacaville, CA Urban Area (2020)",89866
"Valdosta, GA Urban Area (2020)",89974
"Vero Beach--Sebastian, FL Urban Area (2020)",90406
"Victoria, TX Urban Area (2020)",90514
"Victorville--Hesperia--Apple Valley, CA Urban Area (2020)",90541
"Vineland, NJ Urban Area (2020)",90730
"Virginia Beach--Norfolk, VA Urban Area (2020)",90892
"Visalia, CA Urban Area (2020)",90946
"Waco, TX Urban Area (2020)",91027
"Waldorf, MD Urban Area (2020)",91261
"Warner Robins, GA Urban Area (2020)",91783
"Washington--Arlington, DC--VA--MD Urban Area (2020)",92242
"Waterbury, CT Urban Area (2020)",92485
"Waterloo, IA Urban Area (2020)",92593
"Watsonville, CA Urban Area (2020)",92890
"Wausau, WI Urban Area (2020)",93025
"Wenatchee, WA Urban Area (2020)",93862
"Wichita, KS Urban Area (2020)",95077
"Wichita Falls, TX Urban Area (2020)",95104
"Williamsburg, VA Urban Area (2020)",95411
"Wilmington, NC Urban Area (2020)",95833
"Winchester, VA Urban Area (2020)",96103
"Winston-Salem, NC Urban Area (2020)",96670
"Winter Haven, FL Urban Area (2020)",96697
"Worcester, MA--CT Urban Area (2020)",97291
"Yakima, WA Urban Area (2020)",97507
"York, PA Urban Area (2020)",97750
"Youngstown, OH Urban Area (2020)",97831
"Yuba City, CA Urban Area (2020)",97939
"Yuma, AZ--CA Urban Area (2020)",98020
